Text;Tokenization;Normalization;Stop_Removal;Tweet_Stemmed;sentimen
resmi dirilis fanbase akan membuat playlist yang berfokus ke lagu like crazy angel part dan angel part tolong jangan drop lagu apapun terutama like crazy karena ini lagu solo jimin dan bisa menjadi lagu kpop yang paling banyak distream tahun ini;[resmi, dirilis, fanbase, akan, membuat, playlist, yang, berfokus, ke, lagu, like, crazy, angel, part, 1, dan, angel, part, 2, tolong, jangan, drop, lagu, apapun, terutama, like, crazy, karena, ini, lagu, solo, jimin, dan, bisa, menjadi, lagu, kpop, yang, paling, banyak, distream, tahun, ini];[resmi, dirilis, fanbase, akan, membuat, playlist, yang, berfokus, ke, lagu, like, crazy, angel, part, dan, angel, part, tolong, jangan, drop, lagu, apapun, terutama, like, crazy, karena, ini, lagu, solo, jimin, dan, bisa, menjadi, lagu, kpop, yang, paling, banyak, distream, tahun, ini];[resmi, dirilis, fanbase, playlist, berfokus, lagu, like, crazy, angel, part, angel, part, tolong, drop, lagu, apapun, like, crazy, lagu, solo, jimin, lagu, kpop, distream];[resmi, rilis, fanbase, playlist, fokus, lagu, like, crazy, angel, part, angel, part, tolong, drop, lagu, apa, like, crazy, lagu, solo, jimin, lagu, kpop, distream];netral
base jatuh cinta bgt sama lagu inii ada rekomendasi ga lagu kpop semacam ini vibesnya kek lagi jatuh cinta bgt;[base, jatuh, cinta, bgt, sama, lagu, inii, ada, rekomendasi, ga, lagu, kpop, semacam, ini, vibesnya, kek, lagi, jatuh, cinta, bgt];[base, jatuh, cinta, banget, sama, lagu, ini, ada, rekomendasi, tidak, lagu, kpop, semacam, ini, vibesnya, kayak, lagi, jatuh, cinta, banget];[base, jatuh, cinta, banget, tidak, lagu, rekomendasi, lagu, kpop, vibesnya, kayak, jatuh, cinta, banget];[base, jatuh, cinta, banget, tidak, lagu, rekomendasi, lagu, kpop, vibesnya, kayak, jatuh, cinta, banget];positif
ga hanya kpop sih beda pendapat di twitter aja di katain coba belajar bijak kalo make sosmed;[ga, hanya, kpop, sih, beda, pendapat, di, twitter, aja, di, katain, coba, belajar, bijak, kalo, make, sosmed];[tidak, hanya, kpop, sih, beda, pendapat, di, twitter, saja, di, katain, coba, belajar, bijak, kalo, memakai, sosmed];[tidak, kpop, sih, beda, pendapat, twitter, katain, coba, belajar, bijak, kalo, memakai, sosmed];[tidak, kpop, sih, beda, dapat, twitter, katain, coba, ajar, bijak, kalo, pakai, sosmed];negatif
selesai nugas dll masih harus latihan dance buat ujian kelas kpop dancejam latihannya masih sampe jammalem udh kayak trainee beneran ga sie;[selesai, nugas, dll, masih, harus, latihan, dance, buat, ujian, kelas, kpop, dancejam, latihannya, masih, sampe, jammalem, udh, kayak, trainee, beneran, ga, sie];[selesai, nugas, dll, masih, harus, latihan, dance, buat, ujian, kelas, kpop, dance, jam, latihannya, masih, sampai, jam, malem, sudah, kayak, trainee, benaran, tidak, sih];[selesai, nugas, latihan, dance, ujian, kelas, kpop, dance, jam, latihannya, jam, malem, kayak, trainee, benaran, tidak, sih];[selesai, nugas, latih, dance, uji, kelas, kpop, dance, jam, latih, jam, malem, kayak, trainee, benar, tidak, sih];netral
anyway mau jd pundi cuan kek mau ga semua orang kerja buat cuan kocak dikira orang jd idol itu sukarelawan suka suka dungs orang mau ngeluarin duit mereka kemana asal kebutuhan dasar terpenuh panas bgt ama kpop;[anyway, mau, jd, pundi, cuan, kek, mau, ga, semua, orang, kerja, buat, cuan, kocak, dikira, orang, jd, idol, itu, sukarelawan, suka, suka, dungs, orang, mau, ngeluarin, duit, mereka, kemana, asal, kebutuhan, dasar, terpenuh, panas, bgt, ama, kpop];[anyway, mau, jadi, pundi, cuan, kayak, mau, tidak, semua, orang, kerja, buat, cuan, kocak, dikira, orang, jadi, idol, itu, sukarelawan, suka, suka, dungs, orang, mau, mengeluarkan, duit, mereka, kemana, asal, kebutuhan, dasar, terpenuh, panas, banget, sama, kpop];[anyway, pundi, cuan, kayak, tidak, orang, kerja, cuan, kocak, orang, idol, sukarelawan, suka, suka, dungs, orang, mengeluarkan, duit, kemana, kebutuhan, dasar, terpenuh, panas, banget, kpop];[anyway, pundi, cuan, kayak, tidak, orang, kerja, cuan, kocak, orang, idol, sukarelawan, suka, suka, dungs, orang, keluar, duit, mana, butuh, dasar, penuh, panas, banget, kpop];positif
ya cuma kamu cwk kpop hanya selingan buat bahagia aja;[ya, cuma, kamu, cwk, kpop, hanya, selingan, buat, bahagia, aja];[iya, cuma, kamu, cwk, kpop, hanya, selingan, buat, bahagia, saja];[iya, cwk, kpop, selingan, bahagia];[iya, cwk, kpop, seling, bahagia];positif
ini udah pernah ada yg bahas gak sih tentang kpop idol punya tiktok account berguna banget;[ini, udah, pernah, ada, yg, bahas, gak, sih, tentang, kpop, idol, punya, tiktok, account, berguna, banget];[ini, sudah, pernah, ada, yang, bahas, tidak, sih, tentang, kpop, idol, punya, tiktok, account, berguna, banget];[bahas, tidak, sih, kpop, idol, tiktok, account, berguna, banget];[bahas, tidak, sih, kpop, idol, tiktok, account, guna, banget];positif
saya ketemu artis kpop harus tetap sombong;[saya, ketemu, artis, kpop, harus, tetap, sombong];[saya, ketemu, artis, kpop, harus, tetap, sombong];[ketemu, artis, kpop, sombong];[ketemu, artis, kpop, sombong];negatif
akan gue gunakan kalo cowo kpop nanya mbti lagi;[akan, gue, gunakan, kalo, cowo, kpop, nanya, mbti, lagi];[akan, gue, gunakan, kalo, cowok, kpop, tanya, mbti, lagi];[gue, kalo, cowok, kpop, mbti];[gue, kalo, cowok, kpop, mbti];netral
no need pcr pcr kalo punya adek kpop ganteng ganteng begini;[no, need, pcr, pcr, kalo, punya, adek, kpop, ganteng, ganteng, begini];[no, need, pacar, pacar, kalo, punya, adek, kpop, ganteng, ganteng, begini];[no, need, pacar, pacar, kalo, adek, kpop, ganteng, ganteng];[no, need, pacar, pacar, kalo, adek, kpop, ganteng, ganteng];positif
